perfume_name,notes_score,season_score,day_night_score
Her. B.,sweet(100.0) / vanilla(81.4) / fruity(80.7) / musky(75.0) / woody(63.4) / powdery(59.5) / balsamic(49.3) / amber(45.4) / floral(44.8),winter(0.0) / spring(0.0) / summer(25.0) / fall(80.0),day(80.0) / night(0.0)
Royal Wood,citrus(100.0) / woody(98.5) / fresh spicy(83.3) / amber(81.7) / warm spicy(71.1) / fresh(66.5) / aromatic(60.4) / patchouli(60.4) / lavender(60.4) / fruity(50.5),winter(100.0) / spring(0.0) / summer(0.0) / fall(100.0),day(50.0) / night(0.0)
Caprifolio,citrus(100.0) / white floral(94.0) / floral(68.5) / yellow floral(61.6) / sweet(55.6) / honey(52.7) / fruity(52.6) / mossy(51.7) / fresh spicy(46.7) / woody(46.6),winter(12.2) / spring(30.6) / summer(18.4) / fall(12.8),day(92.3) / night(87.2)
Libre Absolute Platin,lavender(100.0) / citrus(100.0) / aldehydic(87.3) / white floral(74.0) / aromatic(66.9) / fresh spicy(65.8) / fresh(63.3) / vanilla(62.8) / soapy(57.6) / sweet(55.1),winter(44.6) / spring(33.6) / summer(16.4) / fall(88.2),day(92.5) / night(63.1)
Endymion,aromatic(100.0) / fresh spicy(96.7) / warm spicy(89.4) / lavender(75.4) / citrus(68.5) / amber(61.5) / woody(59.5) / herbal(57.3) / coffee(56.8) / powdery(48.3),winter(19.0) / spring(18.6) / summer(1.7) / fall(65.0),day(93.2) / night(61.8)
Eau de Neroli,citrus(100.0) / fresh(59.3) / white floral(57.7) / warm spicy(52.6) / fresh spicy(45.3),winter(21.0) / spring(45.5) / summer(3.4) / fall(6.7),day(71.3) / night(100.0)
Jasmine Sambac & Marigold Cologne Intense,white floral(100.0) / sweet(66.4) / floral(61.4) / yellow floral(54.8) / balsamic(52.7) / aromatic(51.9) / amber(49.4) / honey(48.5) / herbal(45.7) / fresh spicy(44.1),winter(20.3) / spring(13.9) / summer(1.3) / fall(42.6),day(100.0) / night(70.4)
Lady Vengeance,rose(100.0) / musky(84.3) / woody(74.1) / patchouli(70.8) / amber(61.8) / floral(53.3) / warm spicy(53.0) / fresh spicy(52.6) / powdery(51.4) / aromatic(50.0),winter(19.9) / spring(34.5) / summer(4.8) / fall(79.0),day(64.4) / night(29.6)
Popourri,aromatic(100.0) / fresh spicy(97.6) / woody(69.2) / warm spicy(68.5) / balsamic(56.3) / patchouli(48.2) / amber(46.7) / lavender(46.1) / citrus(45.9) / camphor(44.6),winter(45.1) / spring(37.3) / summer(22.9) / fall(70.3),day(67.2) / night(47.7)
Jafferano,citrus(100.0) / warm spicy(87.4) / aromatic(84.8) / white floral(77.7) / fresh spicy(73.1) / rose(68.5) / vanilla(67.8) / woody(65.6) / metallic(56.4) / sweet(53.9),winter(29.7) / spring(14.3) / summer(3.8) / fall(48.4),day(100.0) / night(75.2)
Poison Girl,vanilla(100.0) / sweet(72.5) / almond(71.7) / powdery(69.0) / citrus(63.7) / amber(62.1) / nutty(52.7) / woody(49.2) / fruity(48.9) / warm spicy(47.7),winter(15.2) / spring(44.1) / summer(3.6) / fall(100.0),day(41.2) / night(21.2)
Coco,citrus(100.0) / woody(63.2) / patchouli(62.4) / sweet(61.7) / white floral(59.4) / rose(52.9) / earthy(49.2) / vanilla(48.5) / warm spicy(48.0) / yellow floral(47.9),winter(11.3) / spring(27.5) / summer(3.1) / fall(69.3),day(85.5) / night(48.1)
Coco,citrus(100.0) / woody(63.2) / patchouli(62.4) / sweet(61.7) / white floral(59.4) / rose(52.9) / earthy(49.2) / vanilla(48.5) / warm spicy(48.0) / yellow floral(47.9),winter(11.3) / spring(27.5) / summer(3.1) / fall(69.3),day(85.5) / night(48.1)
Pearl Wood,woody(100.0) / warm spicy(87.4) / patchouli(78.2) / sweet(71.5) / earthy(71.0) / cacao(63.7) / amber(53.5) / tobacco(51.6) / balsamic(48.5) / fruity(46.5),winter(22.0) / spring(27.4) / summer(1.8) / fall(88.7),day(28.2) / night(9.2)
Santal Calling,powdery(100.0) / woody(90.2) / musky(63.2) / iris(62.6) / lactonic(60.1) / warm spicy(51.5) / fresh spicy(51.3) / violet(46.3) / vanilla(46.1),winter(36.9) / spring(18.0) / summer(7.1) / fall(76.4),day(81.1) / night(44.1)
Rose Gold,rose(100.0) / floral(80.0) / woody(58.9) / musky(56.6) / powdery(54.4) / fresh(54.4) / fresh spicy(46.4) / white floral(46.0) / fruity(44.0),winter(26.3) / spring(26.4) / summer(1.5) / fall(26.3),day(95.9) / night(65.9)
Men Eau Fresh,citrus(100.0) / aromatic(75.2) / woody(65.4) / fresh spicy(53.8) / amber(52.6) / warm spicy(48.7),winter(18.2) / spring(9.1) / summer(0.0) / fall(3.1),day(81.2) / night(100.0)
Cologne 352,white floral(100.0) / woody(92.0) / citrus(88.3) / aromatic(86.6) / fresh(61.9) / musky(60.0) / fresh spicy(59.4) / rose(57.0) / powdery(51.5) / green(50.1),winter(32.4) / spring(25.4) / summer(3.3) / fall(13.3),day(86.7) / night(100.0)
Patchouli Blanc,patchouli(100.0) / woody(97.0) / musky(89.9) / aldehydic(88.6) / rose(75.4) / fresh(65.1) / warm spicy(65.0) / balsamic(60.4) / earthy(58.0) / powdery(48.9),winter(37.3) / spring(29.4) / summer(5.6) / fall(53.1),day(100.0) / night(77.9)
Eau de Mervaille Bleu,marine(100.0) / woody(76.4) / aromatic(72.0) / salty(58.0) / aquatic(51.0) / patchouli(47.8),winter(19.4) / spring(29.5) / summer(1.6) / fall(10.8),day(56.6) / night(100.0)
The Favorite,musky(100.0) / powdery(79.2) / leather(70.8) / white floral(56.5) / warm spicy(56.1) / amber(54.5) / woody(52.5) / fresh(49.5) / aromatic(48.4) / green(47.9),winter(16.9) / spring(22.7) / summer(2.5) / fall(64.8),day(77.4) / night(41.6)
Rose d'Amalfi,almond(100.0) / rose(95.4) / floral(75.0) / citrus(72.1) / powdery(68.5) / vanilla(62.0) / nutty(58.3) / fruity(56.9) / sweet(54.4) / soft spicy(47.4),winter(45.4) / spring(19.8) / summer(6.5) / fall(48.4),day(100.0) / night(64.7)
Nectarine Blossom & Honey,fruity(100.0) / sweet(75.8) / green(62.5) / powdery(51.7) / fresh(47.1) / white floral(45.0),winter(26.2) / spring(31.4) / summer(2.9) / fall(10.0),day(97.3) / night(93.6)
Aqua Media Cologne Forte,citrus(100.0) / fresh(89.2) / green(86.8) / soft spicy(85.5) / powdery(84.3) / floral(73.1) / musky(68.8) / fresh spicy(65.0) / woody(59.0) / anis(57.8),winter(45.5) / spring(22.0) / summer(13.3) / fall(6.2),day(76.7) / night(100.0)
Rossle,powdery(100.0) / sweet(83.6) / fruity(81.8) / vanilla(79.6) / rose(77.2) / violet(65.9) / floral(62.3) / musky(53.1) / cherry(48.5) / almond(48.4),winter(6.1) / spring(15.2) / summer(3.0) / fall(71.4),day(78.6) / night(35.7)
Neroli Sauvage,citrus(100.0) / fresh spicy(53.4) / aromatic(48.4) / amber(48.3) / white floral(41.1),winter(30.1) / spring(17.3) / summer(2.1) / fall(7.2),day(74.3) / night(100.0)
Sandalo,citrus(100.0) / aromatic(90.4) / woody(84.4) / warm spicy(79.9) / lavender(70.4) / amber(63.7) / fresh spicy(61.4) / powdery(60.3) / vanilla(48.7) / sweet(48.2),winter(40.3) / spring(21.4) / summer(6.2) / fall(82.5),day(78.9) / night(41.8)
Lavande 31,citrus(100.0) / musky(92.3) / lavender(88.2) / aromatic(82.8) / fresh spicy(79.5) / powdery(68.2) / amber(64.1) / white floral(59.5) / floral(53.7) / sweet(50.5),winter(43.1) / spring(22.8) / summer(9.7) / fall(37.0),day(100.0) / night(85.7)
Spring Flower,fruity(100.0) / fresh(70.1) / white floral(67.1) / musky(62.6) / rose(58.4) / aquatic(55.5) / ozonic(54.5) / powdery(53.0) / sweet(50.4) / green(47.9),winter(20.7) / spring(66.0) / summer(7.5) / fall(9.2),day(98.9) / night(77.2)
Apolonia Perfume,citrus(100.0) / white floral(64.0) / amber(62.3) / fresh spicy(61.7) / aromatic(60.3) / green(54.3) / mossy(49.6) / woody(45.8),winter(66.3) / spring(25.7) / summer(5.0) / fall(12.5),day(75.0) / night(100.0)
Outrageous,citrus(100.0) / white floral(68.9) / green(65.7) / fresh(64.2) / fresh spicy(55.9) / musky(53.8) / aldehydic(52.0) / aromatic(51.6) / fruity(49.8) / soapy(45.3),winter(27.4) / spring(38.9) / summer(5.3) / fall(8.7),day(81.2) / night(100.0)
Un Jardin Sur Toi,green(100.0) / fresh(95.4) / fruity(84.5) / rose(62.3) / floral(59.3) / sweet(58.5) / aromatic(53.4) / fresh spicy(48.7) / aquatic(44.4),winter(14.1) / spring(24.7) / summer(1.4) / fall(5.5),day(87.6) / night(99.4)
Noir Extreme Perfume,warm spicy(100.0) / woody(94.0) / aromatic(90.0) / patchouli(84.7) / earthy(78.6) / citrus(76.4) / fresh spicy(67.1) / floral(57.9) / fresh(53.2) / balsamic(46.4),winter(35.0) / spring(25.2) / summer(3.9) / fall(16.4),day(100.0) / night(66.4)
English Pear & Freesia,floral(100.0) / fruity(88.2) / rose(70.2) / sweet(70.0) / aquatic(63.2) / musky(58.5) / fresh(54.0) / patchouli(52.8) / green(50.5) / powdery(45.4),winter(35.8) / spring(32.6) / summer(5.4) / fall(17.5),day(100.0) / night(76.2)
Miss Dior,vanilla(100.0) / powdery(99.9) / rose(81.3) / floral(74.4) / fruity(68.5) / sweet(65.8) / fresh(61.8) / iris(59.7) / musky(57.4) / amber(56.6),winter(46.0) / spring(31.5) / summer(7.9) / fall(45.6),day(100.0) / night(60.0)
French Leather,rose(100.0) / citrus(72.2) / leather(68.9) / musky(64.1) / soft spicy(58.1) / woody(52.3) / aromatic(51.9) / floral(50.3) / powdery(49.5) / sweet(44.1),winter(30.5) / spring(32.2) / summer(3.6) / fall(54.0),day(84.3) / night(35.1)
Geranium Odorata,aromatic(100.0) / fresh spicy(97.1) / woody(64.9) / citrus(64.4) / rose(56.7) / herbal(52.5),winter(21.9) / spring(17.7) / summer(2.0) / fall(10.3),day(100.0) / night(92.2)
Eau Duelle,aromatic(100.0) / vanilla(91.3) / fresh spicy(73.8) / warm spicy(68.3) / balsamic(63.0) / amber(59.1) / powdery(54.9) / woody(51.1) / soft spicy(50.7) / sweet(48.0),winter(17.7) / spring(15.3) / summer(1.8) / fall(89.7),day(51.1) / night(29.7)
Torino 24,citrus(100.0) / fruity(87.7) / sweet(81.7) / tropical(70.9) / white floral(67.3) / musky(65.5) / floral(51.3) / woody(50.6) / powdery(50.6) / mossy(45.0),winter(22.9) / spring(6.8) / summer(7.5) / fall(18.9),day(96.7) / night(100.0)
Miss Dior Perfume,vanilla(100.0) / powdery(99.9) / rose(81.3) / floral(74.4) / fruity(68.5) / sweet(65.8) / fresh(61.8) / iris(59.7) / musky(57.4) / amber(56.6),winter(46.0) / spring(31.5) / summer(7.9) / fall(45.6),day(100.0) / night(60.0)
Iris,powdery(100.0) / iris(97.0) / aromatic(89.4) / vanilla(80.5) / leather(78.9) / woody(74.7) / green(71.4) / balsamic(69.5) / animalic(61.3) / soft spicy(57.4),winter(25.0) / spring(22.4) / summer(5.0) / fall(91.7),day(87.4) / night(24.5)
Tutti Twilly d'Hermes,fruity(100.0) / fresh(95.2) / tropical(82.2) / fresh spicy(78.6) / musky(76.7) / powdery(53.4) / aquatic(47.4),winter(53.4) / spring(85.9) / summer(74.4) / fall(29.4),day(83.6) / night(90.7)
Yuzu,citrus(100.0) / smoky(62.7) / aromatic(62.2) / floral(61.3) / woody(59.2) / sweet(50.4) / green(49.8) / fruity(48.9) / asphault(46.8) / fresh(46.1),winter(3.2) / spring(1.3) / summer(11.7) / fall(25.8),day(91.9) / night(100.0)
Juliet,amber(100.0) / musky(87.6) / woody(61.1) / powdery(37.8) / animalic(32.3),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(100.0) / night(66.7)
Love in White Summer,floral(100.0) / woody(95.6) / citrus(93.6) / powdery(74.5) / fruity(73.7) / amber(64.5) / iris(62.4) / fresh spicy(59.6) / rose(58.9) / fresh(58.7),winter(44.3) / spring(49.6) / summer(7.8) / fall(8.6),day(77.1) / night(100.0)
Eau Capitale Solid Perfume,patchouli(100.0) / rose(91.2) / woody(74.6) / warm spicy(65.0) / citrus(59.3) / earthy(58.0) / floral(52.3) / balsamic(51.0),winter(0.0) / spring(0.0) / summer(0.0) / fall(75.0),day(25.0) / night(50.0)
Soul of the Forest,woody(100.0) / amber(56.9) / warm spicy(53.7) / aromatic(53.7) / fresh spicy(52.6) / fruity(50.2) / balsamic(50.2) / fresh(49.8) / conifer(46.4) / earthy(44.8),winter(23.5) / spring(17.7) / summer(2.8) / fall(65.0),day(79.4) / night(32.5)
Grey Vetiver Perfume,aromatic(100.0) / citrus(75.4) / woody(75.0) / fresh spicy(57.1) / amber(54.8) / earthy(53.5) / soft spicy(51.3) / warm spicy(47.3) / bitter(44.0),winter(44.9) / spring(55.1) / summer(6.1) / fall(12.5),day(100.0) / night(75.0)
Lipstick Rose,powdery(100.0) / vanilla(88.3) / iris(80.3) / fruity(76.5) / sweet(71.2) / violet(68.9) / amber(65.2) / earthy(54.1) / rose(49.9) / woody(49.0),winter(16.7) / spring(29.0) / summer(3.3) / fall(84.5),day(93.4) / night(38.8)
Glome,aromatic(100.0) / woody(96.0) / fresh spicy(78.4) / floral(64.0) / warm spicy(61.0) / rose(58.7) / citrus(54.7) / leather(53.0) / fresh(52.3) / herbal(51.6),winter(7.4) / spring(21.3) / summer(2.8) / fall(71.8),day(74.1) / night(56.5)
Moonlight in Heaven Refill,citrus(100.0) / sweet(97.9) / tropical(86.7) / aromatic(77.5) / coconut(68.3) / fruity(67.9) / woody(60.1) / vanilla(58.5) / lactonic(56.8) / earthy(53.0),winter(35.1) / spring(23.8) / summer(5.2) / fall(18.5),day(79.2) / night(100.0)
Chance,floral(100.0) / fruity(83.5) / citrus(80.6) / sweet(73.5) / fresh spicy(70.4) / powdery(69.3) / white floral(64.4) / musky(63.6) / green(59.4) / iris(58.3),winter(12.5) / spring(26.1) / summer(1.3) / fall(16.9),day(95.4) / night(78.1)
Mon Paris Lumière Eau de Toiletries,white floral(100.0) / floral(91.5) / rose(80.0) / patchouli(65.0) / musky(63.8) / aquatic(55.0) / citrus(55.0) / woody(51.0) / ozonic(50.0) / warm spicy(47.5),winter(38.8) / spring(22.5) / summer(5.0) / fall(23.9),day(100.0) / night(71.6)
Night Veils Vanille Antique Extract de Parfum,amber(100.0) / vanilla(80.8) / woody(73.1) / musky(68.0) / powdery(65.2) / sweet(56.1) / fruity(50.9),winter(27.9) / spring(17.6) / summer(10.3) / fall(100.0),day(25.3) / night(12.0)
Mandarino di Sicilia,citrus(100.0) / green(56.0) / fresh spicy(47.7) / aromatic(42.7) / woody(41.1),winter(23.9) / spring(12.5) / summer(4.4) / fall(9.0),day(72.2) / night(100.0)
Eleventh Hour,woody(100.0) / fruity(87.1) / amber(72.1) / sweet(70.5) / musky(58.5) / rum(53.4) / powdery(48.2),winter(30.4) / spring(38.2) / summer(5.8) / fall(77.2),day(47.2) / night(29.8)
Cherry Blossom,floral(100.0) / fresh(64.5) / cherry(62.2) / fruity(55.9) / rose(53.6) / citrus(51.5) / sweet(50.3) / musky(49.3) / powdery(44.5),winter(37.6) / spring(31.2) / summer(2.2) / fall(21.3),day(100.0) / night(82.0)
African Leather,warm spicy(100.0) / aromatic(72.8) / leather(67.7) / patchouli(56.9) / fresh spicy(56.0) / oud(51.5) / animalic(48.8) / woody(46.1),winter(14.9) / spring(12.6) / summer(3.1) / fall(93.8),day(47.7) / night(22.6)
Ghost in the Shell,lactonic(100.0) / citrus(77.8) / floral(59.7) / white floral(56.0) / aldehydic(53.0) / sweet(52.1) / Pear(51.8) / musky(49.9) / woody(49.9) / green(49.1),winter(44.8) / spring(28.0) / summer(8.4) / fall(40.7),day(100.0) / night(80.1)
Velvet Haze,musky(100.0) / patchouli(71.1) / woody(69.7) / floral(65.3) / coconut(65.1) / warm spicy(64.6) / powdery(60.4) / cacao(53.4) / sweet(52.5) / earthy(46.4),winter(33.7) / spring(54.3) / summer(7.1) / fall(71.2),day(71.2) / night(45.2)
Libre,white floral(100.0) / citrus(81.7) / lavender(75.7) / vanilla(65.2) / aromatic(57.8) / sweet(55.8) / powdery(53.4) / animalic(52.7) / woody(50.3) / musky(50.0),winter(31.3) / spring(30.5) / summer(7.9) / fall(80.9),day(76.6) / night(46.3)
Miracetti,amber(100.0) / warm spicy(70.4) / aromatic(67.5) / marine(65.1) / woody(62.8) / musky(61.9) / fresh spicy(56.5) / aquatic(54.6) / balsamic(51.4) / floral(48.2),winter(35.2) / spring(39.4) / summer(14.1) / fall(72.7),day(57.6) / night(37.9)
Chance,floral(100.0) / fruity(83.5) / citrus(80.6) / sweet(73.5) / fresh spicy(70.4) / powdery(69.3) / white floral(64.4) / musky(63.6) / green(59.4) / iris(58.3),winter(12.5) / spring(26.1) / summer(1.3) / fall(16.9),day(95.4) / night(78.1)
Myr Mistère,woody(100.0) / aromatic(77.4) / citrus(75.2) / lavender(75.2) / musky(75.2) / vanilla(61.6) / sweet(60.3) / balsamic(52.6) / fresh(52.6) / fresh spicy(52.6),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Apom,white floral(100.0) / sweet(92.5) / musky(85.9) / yellow floral(80.9) / lavender(78.1) / powdery(76.8) / amber(74.7) / vanilla(70.3) / citrus(65.0) / animalic(61.3),winter(54.4) / spring(31.6) / summer(12.0) / fall(52.4),day(100.0) / night(77.4)
Bright Crystal Absolute,fruity(100.0) / floral(63.4) / woody(63.1) / aromatic(57.5) / sweet(55.9) / coffee(52.9) / amber(50.8) / fresh spicy(48.4) / yellow floral(45.9),winter(18.8) / spring(12.5) / summer(6.2) / fall(92.3),day(100.0) / night(38.5)
Magnolia (Medici Garden Collection),floral(100.0) / rose(68.9) / fresh spicy(50.9) / white floral(49.6) / musky(47.1) / aromatic(46.7) / citrus(46.6),winter(15.8) / spring(15.8) / summer(3.9) / fall(14.5),day(100.0) / night(71.0)
Hermann,amber(100.0) / rose(91.4) / aquatic(79.4) / earthy(76.8) / woody(71.6) / patchouli(71.0) / warm spicy(58.3) / musky(56.4) / ozonic(56.4) / aromatic(51.1),winter(34.3) / spring(22.4) / summer(6.2) / fall(39.8),day(100.0) / night(63.9)
Ylang 49 (Bulk),woody(100.0) / earthy(79.0) / patchouli(66.6) / yellow floral(66.4) / mossy(62.5) / white floral(60.1) / warm spicy(59.1) / sweet(48.2) / balsamic(45.7) / aromatic(44.5),winter(31.1) / spring(36.2) / summer(10.2) / fall(64.0),day(92.0) / night(52.7)
Uranon,woody(100.0) / fresh(82.5) / aldehydic(74.8) / white floral(71.6) / earthy(71.0) / iris(68.4) / floral(64.6) / powdery(60.7) / marine(56.6) / warm spicy(53.0),winter(20.0) / spring(0.0) / summer(40.0) / fall(50.0),day(100.0) / night(25.0)
Tiffany & Love for Him,woody(100.0) / aromatic(83.5) / fresh spicy(76.5) / citrus(70.5) / warm spicy(58.8) / fresh(49.2),winter(29.0) / spring(26.5) / summer(2.9) / fall(17.0),day(93.4) / night(100.0)
Gelsomino (Medici Garden Collection),white floral(100.0) / tuberose(95.1) / citrus(74.9) / vanilla(64.1) / fruity(60.7) / sweet(52.9) / powdery(52.0) / animalic(50.1) / green(46.6),winter(7.7) / spring(53.8) / summer(7.7) / fall(57.1),day(71.4) / night(85.7)
Infusion d'Iris,iris(100.0) / woody(96.7) / amber(78.3) / powdery(78.0) / citrus(77.4) / earthy(70.0) / aromatic(68.6) / balsamic(67.5) / violet(65.0) / white floral(62.2),winter(9.8) / spring(30.7) / summer(1.5) / fall(32.7),day(88.9) / night(61.3)
Jasmin 17,white floral(100.0) / citrus(83.8) / fresh(48.3) / green(45.2) / powdery(45.1) / sweet(44.3),winter(32.0) / spring(33.0) / summer(3.1) / fall(15.5),day(95.8) / night(90.6)
Pure Poison,white floral(100.0) / citrus(65.7) / woody(50.9) / powdery(42.6) / animalic(42.4),winter(11.7) / spring(35.7) / summer(2.3) / fall(88.9),day(89.4) / night(48.8)
Tuberose Angelica Cologne Intense,tuberose(100.0) / amber(93.2) / white floral(86.0) / musky(75.9) / powdery(61.5) / animalic(56.3) / woody(51.7) / green(44.0),winter(14.3) / spring(28.6) / summer(7.1) / fall(100.0),day(85.7) / night(57.1)
I Am Trash,woody(100.0) / fruity(77.6) / fresh(59.7) / musky(53.9) / green(53.8) / rose(52.4) / amber(50.9) / oud(45.3),winter(48.2) / spring(25.0) / summer(5.2) / fall(14.7),day(100.0) / night(88.0)
L'Oe de Hesperides,white floral(100.0) / fresh(87.6) / citrus(87.0) / woody(79.8) / aromatic(73.2) / fruity(68.9) / marine(61.9) / patchouli(61.1) / earthy(56.4) / rose(55.7),winter(0.0) / spring(42.9) / summer(0.0) / fall(0.0),day(75.0) / night(100.0)
Eau de Citron Noir,citrus(100.0) / smoky(53.8) / woody(49.8) / fresh(43.2) / green(42.8),winter(28.1) / spring(33.2) / summer(6.0) / fall(17.9),day(80.6) / night(100.0)
Mandoro di Sicilia,woody(100.0) / aromatic(53.9) / amber(46.8) / earthy(45.9) / warm spicy(44.2),winter(0.0) / spring(33.3) / summer(33.3) / fall(100.0),day(0.0) / night(0.0)
34th Avenue Saint-Germain,leather(100.0) / soft spicy(67.0) / animalic(63.0) / sweet(53.1) / cherry(49.8) / smoky(49.8) / musky(45.8) / white floral(45.8),winter(66.7) / spring(66.7) / summer(66.7) / fall(66.7),day(33.3) / night(0.0)
Homme à la Rose,rose(100.0) / amber(95.6) / citrus(82.2) / woody(71.2) / aromatic(67.0) / herbal(53.9) / floral(51.0) / soft spicy(47.1) / musky(45.8) / fresh spicy(44.6),winter(28.9) / spring(18.5) / summer(10.0) / fall(21.6),day(100.0) / night(92.9)
English Pear and Sweet Pea,floral(100.0) / fresh(94.9) / white floral(93.7) / sweet(85.2) / green(76.2) / fruity(75.1) / musky(47.8) / woody(47.6) / almond(46.9) / powdery(45.8),winter(8.8) / spring(31.2) / summer(1.2) / fall(16.7),day(84.7) / night(48.6)
Original Santal,aromatic(100.0) / woody(85.5) / fresh spicy(78.8) / lavender(56.5) / powdery(49.5) / warm spicy(48.6) / vanilla(44.3),winter(18.7) / spring(28.8) / summer(2.8) / fall(85.1),day(81.2) / night(37.9)
Miss Dior Rose N' Roses,rose(100.0) / musky(71.7) / fresh spicy(66.7) / citrus(63.9) / aromatic(57.7) / powdery(52.4) / floral(49.1),winter(38.6) / spring(42.0) / summer(6.6) / fall(25.9),day(100.0) / night(65.4)
My Way,white floral(100.0) / tuberose(61.2) / citrus(58.4) / animalic(47.0) / vanilla(44.3),winter(44.5) / spring(40.1) / summer(13.7) / fall(35.5),day(100.0) / night(71.6)
Beau de Jour,aromatic(100.0) / fresh spicy(95.2) / lavender(70.3) / woody(63.9) / earthy(56.7) / patchouli(56.5) / green(54.4) / mossy(53.0) / herbal(49.0) / warm spicy(46.6),winter(12.4) / spring(11.0) / summer(3.3) / fall(45.9),day(100.0) / night(77.2)
Luna Rossa Carbon,fresh spicy(100.0) / amber(90.8) / lavender(89.4) / aromatic(79.1) / metallic(76.2) / citrus(71.9) / musky(66.5) / woody(57.5) / mineral(56.1) / aquatic(55.9),winter(15.0) / spring(10.3) / summer(1.6) / fall(41.4),day(100.0) / night(93.8)
On a Date,rose(100.0) / fruity(97.6) / aromatic(88.0) / woody(87.5) / soft spicy(67.1) / floral(66.6) / earthy(66.5) / fresh spicy(65.7) / patchouli(61.8) / green(56.8),winter(52.4) / spring(48.1) / summer(19.8) / fall(29.8),day(100.0) / night(72.2)
